Version	KoJaC2_v7r2	 ACFG	 INTERNAL 
Modfile	016cccc.mod
comment	VShape GPPC ZUM

Analysis name	.a016cccc_t2600a200d
Applied torque	2600.0
Rpm	200.0
Articulation angle	20.0




Powerflow 	Drive
JointType 	AAR_joint

Angle_Rot_Spider.LastRot	Angle_Rot_Tulip.LastRot	Force_Roller_Tulip_Total_JointRef.z	Force_Roller1_TulipTrack_tot.z	
0.0	0.49018	443.330169516904	335.6283918258012
1.0	1.48999	260.45348512901995	152.36721188911332
2.0	2.48976	20.316121947371837	-85.99534778808186
3.0	3.48968	-224.7396608359438	-319.33163890972395
4.0	4.48968	-240.43485435472425	-332.92635389171414
5.0	5.48959	-241.84532886111552	-333.67221719053157
6.0	6.48948	-218.62825010668686	-303.8491110878625
7.0	7.48943	-121.87596324265532	-208.8626665338383
8.0	8.48945	-69.13386097178413	-153.80293830245347
9.0	9.48947	-68.28384196815968	-167.0673890847582
10.0	10.48949	-91.37053062624517	-177.11166461055475
11.0	11.48949	-89.97732412687448	-187.73965226451497
12.0	12.48948	-106.96682495647708	-199.8021901361221
13.0	13.48948	-121.06807101558019	-198.69394409534263
14.0	14.48948	-124.26084848915684	-186.04393461665836
15.0	15.48945	-107.22361304367396	-174.15013468014223
16.0	16.48939	-113.37809109723624	-169.7708207839674
17.0	17.48933	-107.4934692282665	-155.32083924698637
18.0	18.48927	-72.52026755163065	-127.72282484943591
19.0	19.48927	-119.68203827224576	-138.67779797699072
20.0	20.48981	-124.34778875708093	-128.37962521481816
21.0	21.49034	-134.42919473530938	-119.39372581659835
22.0	22.49057	-127.14097733635165	-100.98562438901304
23.0	23.4907	-157.47392087142455	-121.28967544213661
24.0	24.49086	-142.904282996247	-111.92405755315008
25.0	25.49098	-138.41758099776013	-106.5799134111974
26.0	26.49099	-156.11703989667308	-104.38255963897693
27.0	27.49077	-200.51118609660145	-110.44068478745154
28.0	28.49057	-215.62176148492236	-111.26815443976123
29.0	29.49046	-236.67226863361785	-112.61510454601698
30.0	30.49038	-286.9720626913638	-113.84786239472636
31.0	31.49034	-292.40104616586484	-113.75471892307361
32.0	32.49036	-314.4728883864407	-115.21210738938161
33.0	33.4904	-334.9835163642989	-119.69785607495437
34.0	34.49048	-352.0040753077713	-123.4858596832697
35.0	35.49059	-373.7121570867538	-125.92625448016868
36.0	36.49068	-377.1591835427134	-134.82533458030545
37.0	37.49081	-398.4359308075057	-134.03887594547734
38.0	38.49095	-414.50013471454486	-134.8508512291985
39.0	39.49111	-422.2125621742376	-130.35234898152228
40.0	40.49127	-442.23534122471045	-137.5259859753163
41.0	41.49147	-451.0949027725302	-136.2430280191521
42.0	42.49165	-482.69554211700273	-157.83082799483438
43.0	43.49183	-530.6223298734923	-184.0328631582722
44.0	44.49197	-544.0397586233421	-194.08484065728868
45.0	45.49211	-544.1946969616973	-190.95091453439744
46.0	46.49224	-562.9703420320875	-200.58011560109068
47.0	47.49235	-555.7784671588339	-187.12054634585536
48.0	48.49244	-575.8384996319971	-194.64411080410952
49.0	49.49247	-576.7544448014385	-191.924469566782
50.0	50.49246	-576.8858722190683	-185.93553308060683
51.0	51.49244	-582.3121153247469	-186.38635661479762
52.0	52.4924	-593.1122231204687	-190.09329250597378
53.0	53.49234	-593.3502362439823	-187.67605793281658
54.0	54.49226	-594.1578007823375	-185.61154506268787
55.0	55.49218	-585.8610427038041	-182.9428582787398
56.0	56.49206	-593.0015989935604	-186.62697087157517
57.0	57.49192	-584.2072445837539	-180.5324495569575
58.0	58.49175	-568.2855476091277	-176.64350866124448
59.0	59.49162	-520.6053044918386	-176.5893511450922
60.0	60.49148	-457.5125546442223	-171.61239963828388
61.0	61.49131	-265.52892453525556	-169.1023925188116
62.0	62.49108	198.4308977085907	-166.67376795597315
63.0	63.49102	253.26874334088734	-164.486179716166
64.0	64.49101	263.4960027315417	-164.79561089983852
65.0	65.49093	270.93211305734263	-157.1890213661642
66.0	66.49085	218.6414328003544	-162.8558312038064
67.0	67.49083	102.96970943045808	-168.02419641506845
68.0	68.49087	85.27200715192666	-168.9101113948662
69.0	69.4909	104.4694235685808	-166.6725919450184
70.0	70.49092	131.06821999030498	-149.27372965249333
71.0	71.49092	136.80661142850838	-162.4041524958141
72.0	72.49091	137.8837005125464	-160.3920907606937
73.0	73.49088	139.5462381264266	-151.58892162320913
74.0	74.49083	122.42691354970022	-163.5631084323294
75.0	75.49075	131.96678886039356	-151.0101115851984
76.0	76.49063	130.55762477783674	-152.2339698036141
77.0	77.49049	128.88715420701664	-138.54376642429864
78.0	78.49037	108.04884680662968	-158.0772031101786
79.0	79.49029	96.63377707553899	-164.42626570199144
80.0	80.4904	134.96161542450292	-121.89797313038112
81.0	81.49095	155.0564564342942	-89.71285874073885
82.0	82.49114	141.74809552559475	-89.56496071228315
83.0	83.49121	163.5115533766349	-75.05423033142434
84.0	84.49128	140.95570035504855	-77.67418525685335
85.0	85.49133	151.32599824861657	-78.63855659936131
86.0	86.49136	151.87040711152522	-80.3078575370342
87.0	87.49123	170.28446024656577	-67.01655352033612
88.0	88.49098	185.30847806966085	-72.8333181945713
89.0	89.49075	215.37670678135945	-72.95399752555329
90.0	90.49058	252.81731399141364	-59.850585112255395
91.0	91.49045	272.24806617404465	-48.2809393260715
92.0	92.49036	294.179725211051	-52.23733879758114
93.0	93.49031	307.71761631656216	-58.70012408832377
94.0	94.4903	335.53425607610393	-50.86880448095903
95.0	95.4903	328.1067840231092	-50.97072691730458
96.0	96.49035	352.75240642577967	-51.224465007966955
97.0	97.49039	361.8951137671481	-52.47987320670514
98.0	98.49045	383.90871500464306	-49.64826591466252
99.0	99.49051	385.2630371781252	-61.35115301626747
100.0	100.49063	415.5607129666286	-51.94315793442561
101.0	101.49075	444.11137118609537	-43.32345486035312
102.0	102.49087	473.1535871222339	-52.80044447568591
103.0	103.49098	462.725288642179	-49.37803162856531
104.0	104.49109	506.42346622653645	-47.08182596167372
105.0	105.49121	508.7281244212166	-50.32820726738857
106.0	106.49129	516.5420483086007	-54.03314743083776
107.0	107.49135	543.8170532430237	-59.357320611197
108.0	108.49139	532.7777439338123	-51.073685991479365
109.0	109.4914	540.7663183033346	-56.198967941240475
110.0	110.4914	543.4290968025471	-56.16928886268227
111.0	111.49136	551.994482279368	-51.15414892005736
112.0	112.49129	550.971126017518	-55.07559156549039
113.0	113.4912	565.5824829437355	-50.19530926158892
114.0	114.4911	545.1027120708571	-63.9356567676264
115.0	115.49097	543.2081923206049	-56.48935648790505
116.0	116.49083	561.3678104101367	-56.79564604733937
117.0	117.49067	553.7996105795783	-57.038710753356675
118.0	118.49049	522.9866507498709	-57.37072813163548
119.0	119.49032	483.39251234577586	-58.998612985672715
120.0	120.49016	459.2010522515925	-60.358136163275645
121.0	121.48998	322.4554485061233	-61.72174726317876
122.0	122.48975	-6.14034297037871	-62.77330308746305
123.0	123.48965	-207.77304539462054	-65.86439554366511
124.0	124.48964	-225.97699184447364	-60.10188321844671
125.0	125.48957	-242.2510301530199	-71.62644270166933
126.0	126.48947	-217.5829107487565	-77.81654052885868
127.0	127.48943	-103.83838319297433	-60.39355384230787
128.0	128.48946	-57.74743051191075	-73.1386641648655
129.0	129.4895	-89.43837306273616	-72.57916747002399
130.0	130.48954	-95.827468237919	-73.60428289893581
131.0	131.48956	-114.46307149165652	-77.86229248584097
132.0	132.48956	-95.86773334267558	-80.3443654055801
133.0	133.48953	-120.09962206102526	-82.93699042775121
134.0	134.48949	-108.57144485063421	-85.08804822069894
135.0	135.48946	-123.9812660912173	-90.07755434489027
136.0	136.48941	-93.93950776065753	-93.56901742572119
137.0	137.48935	-100.35337079599708	-97.90986060331709
138.0	138.48928	-109.49799308678283	-102.09735104540981
139.0	139.48928	-82.86306736380071	-109.03044605443293
140.0	140.48979	-119.06179457794612	-109.77399316878311
141.0	141.49035	-120.64215108675407	-105.66917719647556
142.0	142.49061	-151.63055471088757	-103.31309826197621
143.0	143.49072	-149.7239002824057	-112.40190216405287
144.0	144.49086	-131.92686367439407	-99.9333015136688
145.0	145.491	-132.94368361814034	-98.15468367087537
146.0	146.49101	-155.91530537221377	-122.23922533871865
147.0	147.49078	-188.74513476906696	-154.81568391763048
148.0	148.49059	-198.03520526792977	-176.61432501471646
149.0	149.49047	-240.48713341295505	-200.999712494607
150.0	150.4904	-273.8695116214553	-217.9782017758616
151.0	151.49037	-311.923841932551	-235.87228349165025
152.0	152.49037	-326.42941171961826	-252.4568171597597
153.0	153.49043	-333.28199216126393	-262.80707244408785
154.0	154.49049	-352.6429609735159	-274.90463938540273
155.0	155.4906	-364.94115906425014	-291.03482314878795
156.0	156.4907	-385.39331564996553	-304.38357087676945
157.0	157.4908	-392.37164022262726	-316.7407877047141
158.0	158.49095	-405.05208562272037	-329.52405537922823
159.0	159.49111	-421.9359205556545	-343.08146058779056
160.0	160.49127	-444.1448863396978	-356.2213117711877
161.0	161.49145	-446.8215991294869	-368.4536850877937
162.0	162.49164	-489.5398888610831	-380.7004789918807
163.0	163.49182	-526.8000167568441	-391.66846288567433
164.0	164.49196	-532.3766288648834	-396.9640952638331
165.0	165.4921	-536.578877557803	-407.8037613853942
166.0	166.49223	-550.5879783507507	-415.5445146725963
167.0	167.49234	-558.8621298271037	-423.3469797330529
168.0	168.49244	-571.1281167703671	-431.04667424110227
169.0	169.49248	-578.7749639142772	-437.7279716141409
170.0	170.49248	-581.9522046579707	-445.4401696844767
171.0	171.49245	-572.4315478732926	-449.1717437246682
172.0	172.4924	-589.9614141517375	-454.1029752364956
173.0	173.49233	-593.938588419886	-457.2523082984992
174.0	174.49226	-601.2157931863977	-460.4030132818339
175.0	175.49217	-584.6430681337063	-460.77512230149415
176.0	176.49206	-583.3116622283733	-460.98517454335695
177.0	177.49193	-589.5125452519328	-460.1841794386145
178.0	178.49178	-569.6678844109177	-449.26381308762393
179.0	179.49163	-502.94487819162435	-403.9550074967965
180.0	180.4915	-485.16920648331796	-359.6721383439795
181.0	181.49132	-346.4506675891754	-241.04507617726415
